% CrIS April 2009 fast model
% by Scott Hannon/Larrabee Strow @ UMBC
%
% RMS and bias errors for the 48 training
% profiles at 5 angles each.
%    dBT = BT_truth - BT_fastmodel
%    RMS = sqrt(mean(dBT.^2))
%    bias = mean(dBT)
% No reflected thermal or solar radiance
% contributions. Standard/default trace gas
% amounts. 
%
% Units:
%    frequency in wavenumber
%    mean BT, RMS, and bias in Kelvin
%
% ID     freq    mean BT     RMS        bias
%----  --------  -------   ---------  ----------
  191   768.750  266.673   1.417E-02  -1.507E-03
  192   769.375  266.304   1.110E-02  -2.036E-03
  193   770.000  266.895   1.306E-02  -1.859E-03
  194   770.625  267.757   1.166E-02  -2.213E-03
  195   771.250  268.535   8.391E-03   2.790E-03
  196   771.875  269.076   6.608E-03   1.223E-03
  197   772.500  269.280   1.262E-02   7.182E-03
  198   773.125  269.380   5.956E-03   5.040E-04
  199   773.750  269.404   1.181E-02   5.069E-03
  200   774.375  269.075   6.043E-03   6.982E-04
  201   775.000  267.859   8.126E-03  -1.517E-03
  202   775.625  266.247   1.370E-02  -1.823E-03
  203   776.250  266.777   1.030E-02  -1.068E-03
  204   776.875  265.327   1.330E-02  -1.666E-03
  205   777.500  266.899   1.022E-02  -9.909E-04
  206   778.125  269.165   8.236E-03  -1.137E-03
  207   778.750  268.159   7.515E-03  -1.616E-03
  208   779.375  267.467   8.667E-03  -3.261E-03
  209   780.000  269.048   4.857E-03  -1.818E-03
  210   780.625  269.732   5.336E-03   5.267E-04
  211   781.250  269.982   7.850E-03   5.186E-03
  212   781.875  269.753   5.124E-03   5.381E-05
  213   782.500  269.847   5.672E-03   2.345E-03
  214   783.125  269.566   5.926E-03  -8.044E-04
  215   783.750  267.120   9.367E-03  -2.066E-03
  216   784.375  263.766   1.298E-02  -4.959E-04
  217   785.000  266.029   1.148E-02  -1.023E-03
  218   785.625  269.356   7.202E-03  -8.038E-04
  219   786.250  270.103   3.700E-03   8.858E-04
  220   786.875  270.199   3.049E-03  -4.254E-04
  221   787.500  270.362   2.470E-03   7.050E-04
  222   788.125  270.391   2.607E-03  -4.795E-04
  223   788.750  270.430   5.246E-03   4.020E-03
  224   789.375  270.476   3.298E-03  -7.154E-04
  225   790.000  270.443   8.357E-03   6.692E-03
  226   790.625  269.714   1.085E-02   1.072E-04
  227   791.250  264.538   5.889E-02   8.142E-03
  228   791.875  260.929   5.971E-02   1.074E-02
  229   792.500  265.745   2.633E-02   7.106E-03
  230   793.125  268.196   6.789E-03  -1.120E-03
  231   793.750  267.130   1.001E-02  -1.298E-03
  232   794.375  267.876   8.171E-03  -2.272E-03
  233   795.000  268.092   7.785E-03  -1.546E-03
  234   795.625  264.116   1.571E-02   9.514E-04
  235   796.250  264.665   1.501E-02   1.507E-03
  236   796.875  267.608   8.235E-03  -3.296E-03
  237   797.500  267.239   7.950E-03  -2.490E-03
  238   798.125  263.700   1.978E-02   4.317E-03
  239   798.750  261.885   2.288E-02   6.167E-03
  240   799.375  266.609   1.117E-02  -1.804E-03
  241   800.000  269.408   7.488E-03   6.701E-04
  242   800.625  270.133   8.790E-03   5.268E-03
  243   801.250  270.085   6.086E-03  -9.695E-05
  244   801.875  269.993   1.017E-02   6.447E-03
  245   802.500  268.977   6.990E-03  -9.549E-04
  246   803.125  266.287   1.244E-02  -1.951E-03
  247   803.750  267.116   1.001E-02  -1.541E-03
  248   804.375  269.463   5.260E-03  -1.755E-03
  249   805.000  270.222   6.306E-03   4.477E-04
  250   805.625  270.200   3.999E-03   1.718E-03
  251   806.250  269.804   4.573E-03  -1.248E-03
  252   806.875  270.283   1.063E-02   3.896E-03
  253   807.500  269.315   4.396E-03  -2.030E-03
  254   808.125  267.509   9.406E-03  -3.704E-03
  255   808.750  268.737   5.764E-03  -2.602E-03
  256   809.375  270.163   5.009E-03   5.139E-04
